,PLANT_ID,DC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,AC_POWER
PLANT_ID,,,,,,,,
DC_POWER,,1.0,0.10138016967005935,0.006036311866196131,0.7213991414667269,0.9576827642778235,0.9902649628393163,0.9999968419122204
DAILY_YIELD,,0.10138016967005935,1.0,0.00319657236964793,0.49388768835953384,0.21508941412855034,0.09758756635582524,0.10136622380874045
TOTAL_YIELD,,0.006036311866196131,0.00319657236964793,1.0,-0.019169058991993677,-0.006429715349343147,-0.0002469511775748233,0.006008864741803213
AMBIENT_TEMPERATURE,,0.7213991414667269,0.49388768835953384,-0.019169058991993677,1.0,0.8501924542281936,0.7203329408813518,0.7216706456607285
MODULE_TEMPERATURE,,0.9576827642778235,0.21508941412855034,-0.006429715349343147,0.8501924542281936,1.0,0.9630456420439273,0.9578198495179528
IRRADIATION,,0.9902649628393163,0.09758756635582524,-0.0002469511775748233,0.7203329408813518,0.9630456420439273,1.0,0.9902289256295963
AC_POWER,,0.9999968419122204,0.10136622380874045,0.006008864741803213,0.7216706456607285,0.9578198495179528,0.9902289256295963,1.0
